field,name,ra,dec
401,UW401,196.07238094478572,10.915360008832602
402,UW402,198.58789160339373,10.915360008832602
403,UW403,201.10340226200174,10.915360008832602
404,UW404,203.61891292060974,10.915360008832602
405,UW405,206.13442357921775,10.915360008832602
406,UW406,208.64993423782576,10.915360008832602
407,UW407,211.16544489643377,10.915360008832602
408,UW408,213.68095555504178,10.915360008832602
409,UW409,216.19646621364979,10.915360008832602
410,UW410,218.7119768722578,10.915360008832602
411,UW411,221.2274875308658,10.915360008832602
412,UW412,223.7429981894738,10.915360008832602
413,UW413,226.25850884808182,10.915360008832602
414,UW414,228.77401950668983,10.915360008832602
415,UW415,231.28953016529783,10.915360008832602
416,UW416,233.80504082390584,10.915360008832602
417,UW417,236.32055148251385,10.915360008832602
418,UW418,238.83606214112186,10.915360008832602
419,UW419,241.35157279972987,10.915360008832602
420,UW420,243.86708345833787,10.915360008832602
421,UW421,246.38259411694588,10.915360008832602
422,UW422,248.8981047755539,10.915360008832602
423,UW423,251.4136154341619,10.915360008832602
424,UW424,115.40805747733711,12.720360008832602
425,UW425,117.94020560903977,12.720360008832602
426,UW426,120.47235374074242,12.720360008832602
427,UW427,123.00450187244508,12.720360008832602
428,UW428,125.53665000414773,12.720360008832602
429,UW429,128.0687981358504,12.720360008832602
430,UW430,130.60094626755304,12.720360008832602
431,UW431,133.1330943992557,12.720360008832602
432,UW432,135.66524253095835,12.720360008832602
433,UW433,138.197390662661,12.720360008832602
434,UW434,140.72953879436366,12.720360008832602
435,UW435,143.26168692606632,12.720360008832602
436,UW436,145.79383505776897,12.720360008832602
437,UW437,148.32598318947163,12.720360008832602
438,UW438,150.85813132117428,12.720360008832602
439,UW439,153.39027945287694,12.720360008832602
440,UW440,155.9224275845796,12.720360008832602
441,UW441,158.45457571628225,12.720360008832602
442,UW442,160.9867238479849,12.720360008832602
443,UW443,163.51887197968756,12.720360008832602
444,UW444,166.05102011139022,12.720360008832602
445,UW445,168.58316824309287,12.720360008832602
446,UW446,171.11531637479553,12.720360008832602
447,UW447,173.64746450649818,12.720360008832602
448,UW448,176.17961263820084,12.720360008832602
449,UW449,178.7117607699035,12.720360008832602
450,UW450,181.24390890160615,12.720360008832602
451,UW451,183.7760570333088,12.720360008832602
452,UW452,186.30820516501146,12.720360008832602
453,UW453,188.8403532967141,12.720360008832602
454,UW454,191.37250142841677,12.720360008832602
455,UW455,193.90464956011942,12.720360008832602
456,UW456,196.43679769182208,12.720360008832602
457,UW457,198.96894582352473,12.720360008832602
458,UW458,201.5010939552274,12.720360008832602
459,UW459,204.03324208693004,12.720360008832602
460,UW460,206.5653902186327,12.720360008832602
461,UW461,209.09753835033536,12.720360008832602
462,UW462,211.629686482038,12.720360008832602
